"","TeamB","Bgmean","BgSD","Bgskew","Bogmean","BogSD","Bogskew","Bwins","Bties","Year"
"113","HapHa","0.882352941176471","0.781213234429025","0.181867065342643","1.47058823529412","1.2307338795828","0.631522825526113","0.235294117647059","0.235294117647059","2013"
"114","HapKS","1.66666666666667","1.23669388480168","0.430796609663002","1.5","1.29478592370913","0.307124762041192","0.388888888888889","0.222222222222222","2013"
"115","HapPT","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"116","HapRa","0.944444444444444","1.05564155136453","0.668738713157437","0.944444444444444","0.998364675929488","0.771956590653304","0.222222222222222","0.555555555555556","2013"
"117","HapRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"118","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"119","HapRS","1","1","0.705882352941176","1.70588235294118","1.57181049598675","0.277378322821191","0.352941176470588","0.235294117647059","2013"
"120","HapTA","1.77777777777778","1.73393654662229","0.642304034277539","1.44444444444444","1.24721912892465","0.720474088647514","0.333333333333333","0.333333333333333","2013"
"121","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"122","MacHa","1.35294117647059","1.22173935797433","0.514985654836091","1.41176470588235","1.27763568405726","0.438596543569579","0.411764705882353","0.117647058823529","2013"
"123","MacNa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"124","MacPT","1.1875","1.60078105935821","1.08595520557146","1.8125","1.32759180473518","0.15963855732584","0.25","0.125","2013"
"125","MacTA","1.78947368421053","0.854981960070962","-0.632642011394386","1","1.15470053837925","0.615333839531049","0.578947368421053","0.157894736842105","2013"
"126","MemAs","0.625","0.806225774829855","1.40880798301445","1.625","0.718795288428261","0.59954146553671","0.0625","0.3125","2013"
"127","BeiYe","1.4375","1.15289490703475","0.63186398171479","1.3125","1.13834675443528","0.944382864554836","0.375","0.375","2014"
"128","BneSa","1.53333333333333","1.12546286774228","0.0631838802943029","1.66666666666667","0.899735410842437","0.630541217563858","0.333333333333333","0.266666666666667","2014"
"129","BneTA","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"130","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"131","HapAc","0.823529411764706","1.01459931239178","0.665323803602507","1.41176470588235","1.37198868114007","0.651631572591113","0.235294117647059","0.352941176470588","2014"
"132","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"133","HapBS","1.5","1.15470053837925","0.487139289628747","1.375","1.1474609652039","0.783409622884713","0.25","0.4375","2014"
"134","HapHa","0.470588235294118","0.717430053979439","1.05170250602086","1.35294117647059","1.22173935797433","0.514985654836091","0.235294117647059","0.176470588235294","2014"
"135","HapKS","1.375","1.20415945787923","0.597336829766934","1.125","1.02469507659596","0.468344901080211","0.5","0.25","2014"
"136","HapPT","1.17647058823529","0.88284300116492","0.197004900643172","2.05882352941176","1.29762225990916","-0.101166843581892","0.176470588235294","0.235294117647059","2014"
"137","HapRa","0.8","0.861891607371335","0.349856593288009","1.06666666666667","0.961150104723255","0.331027628089333","0.266666666666667","0.266666666666667","2014"
"138","HapRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"139","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"140","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"141","HapTA","0.8125","0.655108133567785","0.161515431413256","1.375","1.08781125813871","0.154763863657282","0.25","0.25","2014"
"142","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2014"
"143","MacHa","1.05882352941176","1.29762225990916","1.19108587664648","1.11764705882353","0.857492925712544","0.356394236230268","0.176470588235294","0.352941176470588","2014"
"144","MacNa","1.26666666666667","0.79880863671798","0.335989577621247","1.73333333333333","1.16291915126588","0.230223080537917","0.333333333333333","0.133333333333333","2014"
"145","MacPT","0.823529411764706","1.23669388480168","1.24551818853939","1.17647058823529","1.38000426256801","0.644060156107145","0.294117647058824","0.411764705882353","2014"
"146","MacTA","1.52941176470588","1.28051000868909","0.358872944699908","1","1","0.705882352941176","0.411764705882353","0.352941176470588","2014"
"147","MemAs","0.9375","0.928708781050335","0.579711491006924","1.75","1.69312334656004","0.753303679323165","0.25","0.3125","2014"
